scenario,real_time_plot,extrude_speed_slider,extrude_angle_slider,extrude_length_slider,down_length_slider,down_speed_slider,delay_after_down,shear_length,shear_speed,delay_after_shear,back_speed,moving_speed,moving_step_angle,time_delay,variable1,variable3,search_start,search_end,ground_height,extrude_back_speed
leg,False,1.0,0.0,5.0,4.0,1.0,3.0,17.0,1.0,0.0,1.0,10.0,5.0,0.0,15.0,0.0,16.8,21.7,18.4,3.0
time,toeforce_x,toeforce_y,toeforce_x_loadcell,toeforce_yloadcell,toe_position_x,toe_position_y,toe_velocity_x,toe_velocity_y,position,position1,torque,torque1,theta command,length command,state flag,current
0.006655454635620117,-0.1279556006193161,-0.4341406226158142,0.0,0.0,-0.0003668277058750391,-0.18560945987701416,0.0,0.0,-0.13711159906559697,-0.10336405684214678,0.011256827041506767,0.03484734520316124,0.0,0.0,0.0,0.0
0.014711856842041016,-0.1279556006193161,-0.4341406226158142,0.0,0.0,-0.0003668277058750391,-0.18560945987701416,0.0,0.0,-0.13711159906559697,-0.10336405684214678,0.011256827041506767,0.03484734520316124,0.0,0.0,0.0,0.0
0.018594980239868164,-0.1279556006193161,-0.4341406226158142,0.0,0.0,-0.0003668277058750391,-0.18560945987701416,0.0,0.0,-0.13711159906559697,-0.10336405684214678,1.1874362826347351e-06,5.587935447692871e-07,0.0,0.0,0.0,0.0
0.021555185317993164,-0.1279556006193161,-0.4341406226158142,0.0,0.0,-0.0003668277058750391,-0.18560945987701416,0.0,0.0,-0.13711159906559697,-0.10336405684214678,1.1874362826347351e-06,5.587935447692871e-07,0.0,0.0,0.0,0.0
0.02473735809326172,-0.1279556006193161,-0.4341406226158142,0.0,0.0,-0.0003668277058750391,-0.18560945987701416,0.0,0.0,-0.13711159906559697,-0.10336405684214678,1.1874362826347351e-06,5.587935447692871e-07,0.0,0.0,0.0,0.0
0.028006553649902344,-0.1279556006193161,-0.4341406226158142,0.0,0.0,-0.0003668277058750391,-0.18560945987701416,0.0,0.0,-0.13711159906559697,-0.10336405684214678,0.055727019906044006,0.056346092373132706,0.0,0.0,0.0,0.0
0.031581878662109375,-0.1279556006193161,-0.4341406226158142,0.0,0.0,-0.0003668277058750391,-0.18560945987701416,0.0,0.0,-0.13711159906559697,-0.10336405684214678,0.055727019906044006,0.056346092373132706,0.0,0.0,0.0,0.0
0.03353476524353027,-0.1279556006193161,-0.4341406226158142,0.0,0.0,-0.0003668277058750391,-0.18560945987701416,0.0,0.0,-0.13711159906559697,-0.10336405684214678,0.055727019906044006,0.056346092373132706,0.0,0.0,0.0,0.0
0.03660988807678223,-0.1279556006193161,-0.4341406226158142,0.0,0.0,-0.0003668277058750391,-0.18560945987701416,0.0,0.0,-0.13524205998036135,-0.10210571322708434,0.0948348119854927,0.10016332566738129,0.0,0.0,0.0,0.0
0.04724764823913574,3.3543810786795802e-06,-1.6459607650176622e-05,0.0,0.0,-0.0003668277058750391,-0.18560945987701416,0.0,0.0,-0.13006487482124732,-0.0998526789448773,0.1181144267320633,0.14382004737854004,0.0,0.0,0.0,0.0
0.05101919174194336,3.3543810786795802e-06,-1.6459607650176622e-05,0.0,0.0,-0.0003668277058750391,-0.18560945987701416,0.0,0.0,-0.1281354146114849,-0.09834266660680237,0.10130592435598373,0.13044476509094238,0.0,0.0,0.0,0.0
0.06217670440673828,-0.08243691176176071,-2.00333571434021,0.0,0.0,-0.00047676669782958925,-0.18554626405239105,0.0,0.0,-0.118560018912105,-0.0898098984741885,0.09677117317914963,0.13077963888645172,0.0,0.0,0.0,0.0
0.06677007675170898,-0.08243691176176071,-2.00333571434021,0.0,0.0,-0.00047676669782958925,-0.18554626405239105,0.0,0.0,-0.118560018912105,-0.0898098984741885,0.09677117317914963,0.13077963888645172,0.0,0.0,0.0,0.0
0.07176828384399414,-0.1387813240289688,-1.4768072366714478,0.0,0.0,-0.0006189131527207792,-0.18516528606414795,0.0,0.0,-0.10403513832681284,-0.07395476892440174,0.05405045673251152,0.07626092433929443,0.0,0.0,0.0,0.0
0.07841682434082031,-0.1387813240289688,-1.4768072366714478,0.0,0.0,-0.0006189131527207792,-0.18516528606414795,0.0,0.0,-0.09588586539117037,-0.06514636361896467,0.06449665129184723,0.08321176469326019,0.0,0.0,0.0,0.0
0.08649325370788574,-0.15831173956394196,-1.717658281326294,0.0,0.0,-0.0007856196025386453,-0.1844514161348343,0.0,0.0,-0.08634642236650654,-0.052946422665311674,0.071734219789505,0.07895949482917786,0.0,0.0,0.0,0.0
0.09761595726013184,-0.12837518751621246,-1.7063418626785278,0.0,0.0,-0.0007984801777638495,-0.18359629809856415,0.0,0.0,-0.07674705821731592,-0.043790474837619255,0.07930705696344376,0.09257764369249344,0.0,0.0,0.0,0.0
0.10593247413635254,-0.126564621925354,-1.2440681457519531,0.0,0.0,-0.0006945813074707985,-0.18231454491615295,0.0,0.0,-0.07294805892231788,-0.03916456402415162,0.11677451431751251,0.12406274676322937,0.0,0.0,0.0,0.0
0.11759138107299805,-0.024779709056019783,-0.6263560652732849,0.0,0.0,-0.00044785262434743345,-0.18062888085842133,0.0,0.0,-0.06333671054822192,-0.030464016742862747,0.11051427572965622,0.12571600079536438,0.0,0.0,0.0,0.0
0.1236114501953125,-0.004660974722355604,-1.916831374168396,0.0,0.0,-0.0003418099950067699,-0.1794901043176651,0.0,0.0,-0.0545402894676902,-0.02339332404870237,0.044496167451143265,0.0760057270526886,0.0,0.0,0.0,0.0
