extrude_speed_slider,extrude_angle_slider,extrude_length_slider,down_length_slider,down_speed_slider,delay_after_down,shear_length,shear_speed,delay_after_shear,back_speed,moving_speed,moving_step_angle,time_delay,variable1,variable3,search_start,search_end,ground_height,extrude_back_speed
1,2.0,0.0,6.0,4.0,1.0,3.0,17.0,1.0,0.0,1.0,10.0,5.0,0.0,18.0,0.0,16.6,27.0,20.3,5.0
time,toeforce_x,toeforce_y,toe_position_x,toe_position_y,toe_velocity_x,toe_velocity_y,position,position1,torque,torque1,theta command,length command,state flag,current
0.004864692687988281,0.07791740447282791,1.0225008726119995,-0.0006059620645828545,-0.20416989922523499,0.0,0.0,1.370269775390625,-1.3643341064453125,-0.03599321097135544,-0.05252119526267052,0.0,0.0,0.0,0.0
0.005541324615478516,0.039018772542476654,1.5879173278808594,-0.0006115622818470001,-0.20417062938213348,0.0,0.0,1.3703057765960693,-1.3643146753311157,-0.064272440969944,-0.07321004569530487,0.0,0.0,0.0,0.0
0.007215738296508789,-0.00253770942799747,1.0165467262268066,-0.0006044614710845053,-0.204172745347023,0.0,0.0,1.3702952861785889,-1.364373803138733,-0.04396279901266098,-0.04405912756919861,0.0,0.0,0.0,0.0
0.007311820983886719,0.1565128117799759,1.2135716676712036,-0.0006098558660596609,-0.20416973531246185,0.0,0.0,1.3702870607376099,-1.3643131256103516,-0.036171287298202515,-0.06886656582355499,0.0,0.0,0.0,0.0
0.007595539093017578,0.1577794849872589,1.418515682220459,-0.0005922028212808073,-0.2041756510734558,0.0,0.0,1.3702683448791504,-1.3644675016403198,-0.044868104159832,-0.07792288064956665,0.0,0.0,0.0,0.0
0.008697748184204102,0.07327769696712494,1.1409687995910645,-0.0005907442537136376,-0.20417629182338715,0.0,0.0,1.3702683448791504,-1.3644816875457764,-0.04157210513949394,-0.05720768868923187,0.0,0.0,0.0,0.0
0.011441707611083984,0.1623031198978424,1.7231274843215942,-0.0005999821587465703,-0.20417246222496033,0.0,0.0,1.370269775390625,-1.3643925189971924,-0.057494841516017914,-0.09166651219129562,0.0,0.0,0.0,0.0
0.012451410293579102,-0.05322311073541641,1.5260646343231201,-0.0005894946516491473,-0.20418186485767365,0.0,0.0,1.3703267574310303,-1.3645521402359009,-0.07106608152389526,-0.06109849736094475,0.0,0.0,0.0,0.0
0.013861894607543945,0.1750945746898651,1.542345404624939,-0.0006066226051189005,-0.20417922735214233,0.0,0.0,1.3703806400299072,-1.3644382953643799,-0.04841319099068642,-0.0850994884967804,0.0,0.0,0.0,0.0
0.017757892608642578,0.019425710663199425,1.4082725048065186,-0.0006042339955456555,-0.204178124666214,0.0,0.0,1.3703559637069702,-1.364437460899353,-0.05856217443943024,-0.06337940692901611,0.0,0.0,0.0,0.0
0.017893552780151367,0.034254442900419235,1.2534615993499756,-0.0006016853731125593,-0.2041722536087036,0.0,0.0,1.370275855064392,-1.364382028579712,-0.050389084964990616,-0.05813708156347275,0.0,0.0,0.0,0.0
0.018464088439941406,0.20949266850948334,1.310472011566162,-0.0005827215500175953,-0.20417959988117218,0.0,0.0,1.3702667951583862,-1.3645588159561157,-0.03494486212730408,-0.07848263531923294,0.0,0.0,0.0,0.0
0.018600940704345703,-0.10127134621143341,1.4176064729690552,-0.0006009173230268061,-0.2041759341955185,0.0,0.0,1.3703147172927856,-1.3644285202026367,-0.07130167633295059,-0.0514763705432415,0.0,0.0,0.0,0.0
0.01873302459716797,0.0598284974694252,1.4004188776016235,-0.0006077867583371699,-0.20417781174182892,0.0,0.0,1.3703701496124268,-1.364416480064392,-0.05409194529056549,-0.06715875118970871,0.0,0.0,0.0,0.0
0.018863201141357422,0.11299027502536774,1.3689610958099365,-0.0005818002973683178,-0.20418088138103485,0.0,0.0,1.3702772855758667,-1.364578366279602,-0.04732539504766464,-0.07119230926036835,0.0,0.0,0.0,0.0
0.018996238708496094,0.30079585313796997,1.2117294073104858,-0.0005927372840233147,-0.20417530834674835,0.0,0.0,1.3702667951583862,-1.3644607067108154,-0.02135775052011013,-0.08349107205867767,0.0,0.0,0.0,0.0
0.022620677947998047,-0.1006871685385704,1.0676823854446411,-0.000588414550293237,-0.20417869091033936,0.0,0.0,1.3702847957611084,-1.3645206689834595,-0.05620468407869339,-0.036274753510951996,0.0,0.0,0.0,0.0
0.023080825805664062,0.17506159842014313,1.1209851503372192,-0.0005938268732279539,-0.2041817158460617,0.0,0.0,1.370346188545227,-1.3645296096801758,-0.03030933439731598,-0.06671938300132751,0.0,0.0,0.0,0.0
0.024276018142700195,0.24483105540275574,1.4972562789916992,-0.0006059998413547873,-0.20418262481689453,0.0,0.0,1.3704166412353516,-1.364480972290039,-0.03934851288795471,-0.09024609625339508,0.0,0.0,0.0,0.0
0.02492690086364746,0.10753568261861801,0.7008296847343445,-0.000601347244810313,-0.20417314767837524,0.0,0.0,1.3702847957611084,-1.3643940687179565,-0.019139645621180534,-0.0415169857442379,0.0,0.0,0.0,0.0
0.025478839874267578,0.1021180972456932,0.8694949746131897,-0.0005908123566769063,-0.20418299734592438,0.0,0.0,1.370346188545227,-1.3645588159561157,-0.02695281431078911,-0.04831729829311371,0.0,0.0,0.0,0.0
0.026204824447631836,0.147878959774971,1.5052629709243774,-0.0006001999136060476,-0.2041803002357483,0.0,0.0,1.3703612089157104,-1.3644824028015137,-0.049606453627347946,-0.08070387691259384,0.0,0.0,0.0,0.0
0.02888178825378418,0.203033447265625,1.4786171913146973,-0.0005849601002410054,-0.2041793316602707,0.0,0.0,1.3702750205993652,-1.3645453453063965,-0.04283441603183746,-0.08515457808971405,0.0,0.0,0.0,0.0
0.029083967208862305,-0.004883795510977507,0.8003574013710022,-0.0005855897907167673,-0.20417824387550354,0.0,0.0,1.3702653646469116,-1.3645296096801758,-0.034917548298835754,-0.03438906744122505,0.0,0.0,0.0,0.0
0.02935647964477539,0.21653637290000916,1.5347625017166138,-0.0005801449296995997,-0.20418080687522888,0.0,0.0,1.3702683448791504,-1.3645857572555542,-0.04387342929840088,-0.08897638320922852,0.0,0.0,0.0,0.0
